strain	date	country	continent
KY765317.1	2016-06-29	Nicaragua	North America
KY765318.1	2016-07-10	Nicaragua	North America
KY765319.1	2016-05-29	Nicaragua	North America
KY765323.1	2016-06-30	Nicaragua	North America
KY765324.1	2016-07-07	Nicaragua	North America
KY765325.1	2016-04-22	Nicaragua	North America
KY766069.1	2013-10-25	French Polynesia	Oceania
KY785409.1	2016-04-04	Brazil	South America
KY785410.1	2016-03-27	Brazil	South America
KY785411.1	2016-03-30	Brazil	South America
KY785412.1	2016-07-22	USA	North America
KY785413.1	2016-10-06	Dominican Republic	North America
KY785414.1	2016-05-28	Honduras	North America
KY785415.1	2016-04-11	Dominican Republic	North America
KY785416.1	2016-04-28	Honduras	North America
KY785417.1	2016-04-06	Colombia	South America
KY785418.1	2016-05-13	Honduras	North America
KY785419.1	2016-06-13	Jamaica	North America
KY785420.1	2016-04-18	Dominican Republic	North America
KY785421.1	2016-07-07	USA	North America
KY785422.1	2016-09-09	USA	North America
KY785423.1	2016-04-05	Dominican Republic	North America
KY785424.1	2016-07-10	Jamaica	North America
KY785425.1	2016-04-04	Dominican Republic	North America
KY785426.1	2016-04-04	Brazil	South America
KY785427.1	2016-03-30	Brazil	South America
KY785428.1	2016-06-13	Dominican Republic	North America
KY785429.1	2016-04-14	Brazil	South America
KY785430.1	2016-09-28	Jamaica	North America
KY785431.1	2016-06-13	Honduras	North America
KY785432.1	2016-10-12	Jamaica	North America
KY785433.1	2016-04-08	Brazil	South America
KY785434.1	2016-08-17	Dominican Republic	North America
KY785435.1	2016-07-07	Dominican Republic	North America
KY785436.1	2016-03-15	Brazil	South America
KY785437.1	2016-03-14	Brazil	South America
KY785438.1	2016-09-26	Jamaica	North America
KY785439.1	2016-04-08	Brazil	South America
KY785440.1	2016-08-03	USA	North America
KY785441.1	2016-06-13	Dominican Republic	North America
KY785442.1	2016-06-04	Honduras	North America
KY785443.1	2016-08-01	USA	North America
KY785444.1	2016-05-31	Honduras	North America
KY785445.1	2016-07-19	USA	North America
KY785446.1	2016-03-22	Brazil	South America
KY785447.1	2016-09-22	Dominican Republic	North America
KY785448.1	2016-06-10	Honduras	North America
KY785449.1	2016-04-05	Dominican Republic	North America
KY785450.1	2016-04-12	Brazil	South America
KY785451.1	2016-03-22	Martinique	North America
KY785452.1	2016-06-07	Honduras	North America
KY785453.1	2016-05-10	Dominican Republic	North America
KY785454.1	2016-08-05	not determined	
KY785455.1	2016-04-06	Brazil	South America
KY785456.1	2016-04-15	Brazil	South America
KY785457.1	2016-08-01	USA	North America
KY785458.1	2016-06-10	Honduras	North America
KY785459.1	2016-08-15	USA	North America
KY785460.1	2016-06-30	Dominican Republic	North America
KY785461.1	2016-05-31	Honduras	North America
KY785462.1	2016-06-26	Puerto Rico	North America
KY785463.1	2016-04-05	Dominican Republic	North America
KY785464.1	2016-04-13	Puerto Rico	North America
KY785465.1	2016-04-07	Dominican Republic	North America
KY785466.1	2016-04-28	Colombia	South America
KY785467.1	2016-04-01	Brazil	South America
KY785468.1	2016-10-05	USA	North America
KY785469.1	2016-04-05	Colombia	South America
KY785470.1	2016-06-18	Dominican Republic	North America
KY785471.1	2016-05-03	Honduras	North America
KY785472.1	2016-09-20	USA	North America
KY785473.1	2016-06-15	Dominican Republic	North America
KY785474.1	2016-08-04	USA	North America
KY785475.1	2016-04-07	Dominican Republic	North America
KY785476.1	2016-04-18	Dominican Republic	North America
KY785477.1	2016-06-09	Colombia	South America
KY785478.1	2016-05-24	Dominican Republic	North America
KY785479.1	2016-03-30	Brazil	South America
KY785480.1	2016-03-30	Brazil	South America
KY785481.1	2016-04-12	Puerto Rico	North America
KY785482.1	2016-07-05	Haiti	North America
KY785483.1	2016-04-07	Dominican Republic	North America
KY785484.1	2016-06-06	Dominican Republic	North America
KY785485.1	2016-05-10	Brazil	South America
KY817930.1	2016-01	Brazil	South America
KY888678.1	2016-07-10	China	Asia
KY921911.1	2016	Singapore	Asia
KY927808.1	2016-09	China	Asia
KY962729.1	2016-04	South Korea	Asia
KY967711.1	2016-11-01	China	Asia
KY968096.1	2016-02-01	Brazil	South America
KY968097.1	2016-02-03	Brazil	South America
KY968098.1	2016-02-01	Brazil	South America
KY989511.1	1947	Uganda	Africa
KY989971.1	2015-12	Colombia	South America
LC002520.1		Uganda	Africa
