strain	date	country	continent
PQ634506.1	2024-03-18	Bolivia	South America
PQ634507.1	2024-02-15	Bolivia	South America
PQ634508.1	2024-02-07	Bolivia	South America
PQ634509.1	2024-01-19	Bolivia	South America
PQ634510.1	2024-01-29	Bolivia	South America
PQ634511.1	2024-02-29	Bolivia	South America
PQ634512.1	2024-04-01	Bolivia	South America
PQ634513.1	2024-04-06	Bolivia	South America
PQ634514.1	2024-04-12	Bolivia	South America
PQ634515.1	2024-05-02	Bolivia	South America
PQ634516.1	2024-03-19	Bolivia	South America
PQ634517.1	2024-03-21	Bolivia	South America
PQ634518.1	2024-03-25	Bolivia	South America
PQ634519.1	2024-03-27	Bolivia	South America
PQ634520.1	2024-03-01	Bolivia	South America
PQ634521.1	2024-04-09	Bolivia	South America
PQ634522.1	2024-04-12	Bolivia	South America
PQ634523.1	2024-04-14	Bolivia	South America
PQ634524.1	2024-04-10	Bolivia	South America
PQ634525.1	2024-04-10	Bolivia	South America
PQ634526.1	2024-04-12	Bolivia	South America
PQ634527.1	2024-04-16	Bolivia	South America
PQ634528.1	2024-04-11	Bolivia	South America
PQ634529.1	2024-04-15	Bolivia	South America
PQ634530.1	2024-04-06	Bolivia	South America
PQ634531.1	2024-04-15	Bolivia	South America
PQ634532.1	2024-04-16	Bolivia	South America
PQ634533.1	2024-04-22	Bolivia	South America
PQ634534.1	2024-03-29	Bolivia	South America
PQ634535.1	2024-01-26	Bolivia	South America
PQ634536.1	2024-02-15	Bolivia	South America
PQ634537.1	2024-03-07	Bolivia	South America
PQ634538.1	2024-02-07	Bolivia	South America
PQ634539.1	2024-01-19	Bolivia	South America
PQ634540.1	2024-01-29	Bolivia	South America
PQ634541.1	2024-02-01	Bolivia	South America
PQ634542.1	2024-02-29	Bolivia	South America
PQ634543.1	2024-03-27	Bolivia	South America
PQ634544.1	2024-04-01	Bolivia	South America
PQ634545.1	2024-04-06	Bolivia	South America
PQ634546.1	2024-04-12	Bolivia	South America
PQ634547.1	2024-05-02	Bolivia	South America
PQ634548.1	2024-05-17	Bolivia	South America
PQ634549.1	2024-03-18	Bolivia	South America
PQ634550.1	2024-03-19	Bolivia	South America
PQ634551.1	2024-03-21	Bolivia	South America
PQ634552.1	2024-03-25	Bolivia	South America
PQ634553.1	2024-03-27	Bolivia	South America
PQ634554.1	2024-03-01	Bolivia	South America
